iter	MultiClass
0	3.177820452
1	2.951156197
2	2.79310302
3	2.612845796
4	2.451160629
5	2.346472979
6	2.224616364
7	2.120411797
8	2.019623034
9	1.935525624
10	1.867859582
11	1.807266262
12	1.757881313
13	1.695025278
14	1.64138205
15	1.582264001
16	1.537713547
17	1.487526661
18	1.447818317
19	1.416282629
20	1.388959198
21	1.345144738
22	1.309214677
23	1.280243057
24	1.255739333
25	1.235452309
26	1.214969025
27	1.193007145
28	1.174550527
29	1.157498254
30	1.137225423
31	1.11599671
32	1.097958468
33	1.078548704
34	1.060884503
35	1.04492626
36	1.02751784
37	1.013705876
38	0.9992525643
39	0.9827539701
40	0.9692978797
41	0.9522139422
42	0.9372998481
43	0.9208121824
44	0.906148138
45	0.8920029116
46	0.8791651306
47	0.8669563053
48	0.8538748772
49	0.8418016503
50	0.8285462059
51	0.8159415924
52	0.8052660451
53	0.7951427269
54	0.7846589802
55	0.7749504866
56	0.7637587201
57	0.7515544027
58	0.741625913
59	0.7289270453
60	0.718668614
61	0.7090782461
62	0.6994502676
63	0.6881995915
64	0.679028986
65	0.6689993122
66	0.6607456188
67	0.6505245306
68	0.641579463
69	0.6324735009
70	0.624136809
71	0.6155693552
72	0.6073016345
73	0.6000304229
74	0.5905493068
75	0.5827081418
76	0.5741674372
77	0.5667303481
78	0.5581783949
79	0.5503058206
80	0.5431039586
81	0.5348579592
82	0.5277826854
83	0.5207962307
84	0.5141264612
85	0.5071576998
86	0.5000445165
87	0.492887854
88	0.4851026954
89	0.4783258125
90	0.4723424678
91	0.4661944783
92	0.4603783713
93	0.4540611844
94	0.4483769851
95	0.4424554501
96	0.4360186222
97	0.4299626704
98	0.4243580382
99	0.4190357315
100	0.4138179128
101	0.4085023624
102	0.4034198394
103	0.3983115964
104	0.3934679753
105	0.3886054401
106	0.3839609913
107	0.3789100944
108	0.374430444
109	0.3699348868
110	0.3653592597
111	0.3608612556
112	0.3562140444
113	0.3516700221
114	0.3473890348
115	0.3431343858
116	0.3387809127
117	0.3340923127
118	0.330012043
119	0.325847296
120	0.3217180693
121	0.3178389538
122	0.3142970558
123	0.3106413778
124	0.30702473
125	0.3034978827
126	0.2998103293
127	0.2963875458
128	0.293372974
129	0.2897021569
130	0.2862576347
131	0.2834585039
132	0.2803006905
133	0.2770646685
134	0.2738993857
135	0.2712258955
136	0.2681999474
137	0.2654254899
138	0.2624020606
139	0.2591839119
140	0.2563892498
141	0.2534234914
142	0.2507359383
143	0.248562226
144	0.2457651164
145	0.2432059813
146	0.2406132709
147	0.238124088
148	0.2356087371
149	0.2330808249
150	0.2307295746
151	0.228260637
152	0.2260330234
153	0.2237100022
154	0.2219441996
155	0.2197237336
156	0.2174707182
157	0.2152478279
158	0.2129979029
159	0.210682443
160	0.2086356787
161	0.2065185686
162	0.204541007
163	0.2024930049
164	0.2004706376
165	0.1983461029
166	0.196517953
167	0.1945437921
168	0.1932560352
169	0.1913945007
170	0.1895512772
171	0.1876239549
172	0.1857804863
173	0.1841330893
174	0.1824080493
175	0.1806298633
176	0.1789091449
177	0.1771317404
178	0.1755818403
179	0.1746347425
180	0.1730141773
181	0.1713566001
182	0.1697986658
183	0.168473838
184	0.1669511115
185	0.1654675717
186	0.1639849132
187	0.1625267072
188	0.1610925574
189	0.1596026987
190	0.1581441742
191	0.1568845003
192	0.1559781649
193	0.1546382969
194	0.1532904474
195	0.1519298851
196	0.1506153062
197	0.1492268945
198	0.1480482516
199	0.1467524175
200	0.145500523
201	0.1442633352
202	0.1430092806
203	0.1418806
204	0.1407649705
205	0.139541336
206	0.138367223
207	0.137261193
208	0.1361547041
209	0.135173457
210	0.1340723701
211	0.1330580598
212	0.1323649477
213	0.1312452016
214	0.1302580989
215	0.1291673452
216	0.1282350073
217	0.1272511393
218	0.1262399753
219	0.125265356
220	0.1243179051
221	0.123431563
222	0.1225642061
223	0.1216114206
224	0.1206625631
225	0.1197686578
226	0.1188878555
227	0.11797036
228	0.1171196708
229	0.1163433411
230	0.115441927
231	0.1145394132
232	0.1137447884
233	0.1129057012
234	0.1120710169
235	0.1112316964
236	0.1104533959
237	0.1096524337
238	0.108860761
239	0.1080876763
240	0.1073337621
241	0.106582221
242	0.1058650887
243	0.1051238075
244	0.1044314154
245	0.1037577358
246	0.1032189745
247	0.102529133
248	0.1018115738
249	0.1012456771
250	0.1005597919
251	0.09988500678
252	0.09931105556
253	0.09868290285
254	0.09804995619
255	0.09740955269
256	0.09675307142
257	0.0960955286
258	0.09546311283
259	0.09493151222
260	0.09428648704
261	0.09369378841
262	0.09311599758
263	0.09252558654
264	0.09193544912
265	0.09134824039
266	0.09079156123
267	0.09023801827
268	0.08964854672
269	0.089086962
270	0.08856489182
271	0.08802613248
272	0.08748849508
273	0.08697165375
274	0.08653075992
275	0.08601873546
276	0.08550275079
277	0.08512976444
278	0.08479238636
279	0.08427502551
280	0.08380840108
281	0.08332835943
282	0.08299135549
283	0.0825115692
284	0.08205396041
285	0.08160321774
286	0.08115253289
287	0.08066694138
288	0.0801959675
289	0.07974696932
290	0.07930535467
291	0.07890873882
292	0.07847585706
293	0.07805290315
294	0.07763011764
295	0.07720716455
296	0.07680884197
297	0.07638488425
298	0.07594889514
299	0.07555455584
300	0.07514458114
301	0.07474344095
302	0.07432697314
303	0.07391894409
304	0.07353374783
305	0.07314633274
306	0.07277588865
307	0.07238353115
308	0.07200609951
309	0.07162096279
310	0.07125084125
311	0.07089639075
312	0.07056722671
313	0.07023939929
314	0.06988908706
315	0.06954589134
316	0.0691990754
317	0.06884322788
318	0.06850257292
319	0.06817354672
320	0.06780684407
321	0.06746998507
322	0.0672320063
