iter	Passed	Remaining
0	61	61137
1	118	59157
2	175	58364
3	235	58536
4	297	59241
5	355	58845
6	407	57843
7	459	56972
8	472	52009
9	525	52011
10	581	52308
11	636	52423
12	687	52181
13	745	52532
14	804	52807
15	860	52941
16	917	53038
17	970	52942
18	1026	53007
19	1079	52884
20	1129	52671
21	1181	52523
22	1237	52577
23	1287	52360
24	1337	52163
25	1389	52045
26	1443	52004
27	1495	51910
28	1547	51811
29	1599	51717
30	1652	51641
31	1703	51519
32	1755	51455
33	1810	51449
34	1869	51550
35	1929	51658
36	1981	51572
37	2032	51465
38	2085	51382
39	2136	51280
40	2188	51189
41	2241	51117
42	2294	51069
43	2349	51040
44	2402	50985
45	2455	50921
46	2507	50850
47	2558	50748
48	2611	50691
49	2662	50593
50	2716	50549
51	2771	50534
52	2825	50483
53	2891	50662
54	2945	50613
55	2999	50555
56	3050	50472
57	3102	50392
58	3156	50336
59	3215	50381
60	3265	50268
61	3320	50229
62	3372	50164
63	3426	50117
64	3480	50060
65	3534	50012
66	3586	49947
67	3612	49518
68	3663	49424
69	3712	49327
70	3763	49241
71	3816	49193
72	3874	49202
73	3944	49363
74	3995	49276
75	4046	49197
76	4098	49124
77	4148	49035
78	4160	48503
79	4209	48409
80	4262	48357
81	4313	48292
82	4365	48231
83	4416	48164
84	4468	48099
85	4517	48011
86	4568	47943
87	4621	47897
88	4675	47858
89	4729	47823
90	4780	47755
91	4831	47683
92	4861	47412
93	4915	47379
94	4966	47312
95	5019	47265
96	5082	47318
97	5137	47281
98	5193	47264
99	5243	47187
100	5295	47137
101	5346	47072
102	5397	47002
103	5448	46940
104	5498	46871
105	5552	46829
106	5604	46771
107	5655	46710
108	5709	46668
109	5763	46631
110	5816	46586
111	5872	46562
112	5924	46502
113	5974	46433
114	6025	46369
115	6074	46294
116	6124	46221
117	6184	46225
118	6235	46160
119	6285	46092
120	6334	46020
121	6385	45953
122	6413	45730
123	6438	45487
124	6489	45423
125	6539	45363
126	6595	45338
127	6645	45273
128	6696	45213
129	6748	45163
130	6799	45108
131	6813	44801
132	6872	44801
133	6924	44748
134	6975	44694
135	7027	44643
136	7083	44617
137	7136	44576
138	7196	44576
139	7256	44576
140	7315	44567
141	7370	44535
142	7420	44473
143	7433	44187
144	7485	44136
145	7535	44075
146	7585	44017
147	7635	43953
148	7687	43906
149	7737	43847
150	7788	43792
151	7838	43730
152	7891	43689
153	7947	43661
154	7972	43462
155	8039	43493
156	8098	43483
157	8155	43461
158	8213	43445
159	8265	43395
160	8317	43343
161	8369	43294
162	8400	43136
163	8451	43081
164	8504	43039
165	8557	42995
166	8583	42814
167	8633	42757
168	8636	42466
169	8685	42405
170	8735	42349
171	8787	42302
172	8840	42259
173	8891	42209
174	8941	42154
175	8993	42105
176	9047	42066
177	9098	42014
178	9109	41783
179	9115	41527
180	9165	41472
181	9218	41432
182	9268	41380
183	9319	41329
184	9370	41279
185	9422	41235
186	9473	41189
187	9524	41136
188	9552	40989
189	9609	40967
190	9666	40945
191	9719	40903
192	9722	40652
193	9773	40604
194	9824	40557
195	9887	40557
196	9938	40512
197	9991	40469
198	10047	40442
199	10103	40414
200	10155	40368
201	10212	40344
202	10265	40302
203	10326	40294
204	10385	40275
205	10445	40259
206	10501	40230
207	10556	40196
208	10616	40179
209	10667	40130
210	10717	40078
211	10769	40028
212	10775	39811
213	10825	39759
214	10873	39702
215	10923	39649
216	10973	39596
217	11023	39544
218	11072	39487
219	11121	39429
220	11170	39373
221	11220	39324
222	11271	39274
223	11322	39223
224	11371	39169
225	11424	39124
226	11474	39073
227	11523	39019
228	11573	38965
229	11623	38914
230	11675	38868
231	11728	38826
232	11740	38649
233	11790	38594
234	11846	38563
235	11906	38546
236	11965	38520
237	12020	38484
238	12076	38451
239	12130	38413
240	12186	38381
241	12246	38359
242	12300	38317
243	12355	38281
244	12409	38240
245	12461	38193
246	12486	38066
247	12537	38016
248	12595	37988
249	12648	37944
250	12698	37894
251	12748	37840
252	12802	37801
253	12858	37765
254	12913	37726
255	12969	37691
256	13020	37643
257	13071	37592
258	13121	37541
259	13180	37513
260	13231	37465
261	13305	37478
262	13359	37436
263	13412	37393
264	13471	37363
265	13522	37314
266	13577	37274
267	13630	37228
268	13686	37193
269	13742	37155
270	13793	37105
271	13846	37060
272	13904	37027
273	13957	36981
274	13969	36829
275	14029	36801
276	14084	36762
277	14090	36594
278	14096	36428
279	14148	36382
280	14199	36333
281	14251	36286
282	14254	36114
283	14304	36063
284	14359	36024
285	14413	35982
286	14468	35944
287	14520	35897
288	14574	35856
289	14627	35813
290	14680	35766
291	14733	35722
292	14788	35683
293	14841	35638
294	14891	35587
295	14943	35541
296	14997	35499
297	15049	35453
298	15099	35400
299	15151	35352
300	15208	35317
301	15259	35268
302	15309	35216
303	15358	35163
304	15412	35120
305	15467	35079
306	15519	35033
307	15577	34999
308	15629	34952
309	15686	34914
310	15736	34863
311	15786	34812
312	15836	34759
313	15885	34705
314	15935	34653
315	15989	34609
316	16042	34564
317	16093	34514
318	16143	34463
319	16197	34419
320	16250	34374
321	16300	34322
322	16306	34178
323	16358	34130
324	16409	34081
325	16459	34029
326	16511	33982
327	16573	33956
328	16626	33909
329	16653	33812
330	16705	33763
331	16756	33715
332	16810	33671
333	16866	33632
334	16916	33581
335	16969	33534
336	17018	33482
337	17068	33430
338	17124	33389
339	17174	33338
340	17232	33302
341	17286	33258
342	17336	33207
343	17390	33163
344	17441	33113
345	17492	33064
346	17546	33020
347	17598	32972
348	17650	32924
349	17702	32875
350	17752	32824
351	17806	32780
